DATE,DESTINATION,PAX,AMOUNT,TOTAL,AGENCY
02/01/2023,EN -PPC,3.76377551,1579.195804,1515.505059, ST.JOHN
02/01/2023,EN-PPC,3.775102041,1607.692308,1514.881106,ONE EL NIDO SUITE
02/01/2023,AIRPORT-REMA,3.786428571,1636.188811,1514.257153,DMC TRAVCON TRAVEL AND TOURS
02/01/2023,PPC-EN,3.797755102,PRIVATE,1513.6332,CORAZON TRAVEL AND TOURS
02/01/2023,PPC-EN,3.809081633,500,1513.009247,ROCK VIEW
02/01/2023,EN-PPC,3.820408163,PRIVATE,1512.385294,BAYVIEW
02/01/2023,PPC-LOFT VILLA,3.831734694,PRIVATE,1511.761341,RONEL
02/01/2023,MILAN,3.843061224,450,1511.137388,GFS TRAVELISTA
02/01/2023,DROP ITI,3.854387755,charge-901,1510.513435,VELLAGO
02/01/2023,PPC-EN,3.865714286,1060,1509.889482,MILAN
02/01/2023,EN-JOINER,3.877040816,740,1509.265529,DA ROCK
02/01/2023,PPC-PRIVATE,3.888367347,420,1508.641576,DA ROCK
02/01/2023,PPC-PRIVATE,3.899693878,100,1508.017623, ST.JOHN
02/01/2023,PORT BARTON,3.911020408,-220,1507.39367,ONE EL NIDO SUITE
02/01/2023,PPC-EN,3.922346939,PRIVATE,1506.769717,CORAZON TRAVEL AND TOURS
02/01/2023,PICK ITI,3.933673469,PRIVATE,1506.145764,BAYVIEW
02/01/2023,EN-PPC,3.945,3214.285714,1505.521811,ROLANDO aka INSTEK
02/01/2023,ELAIN,3.956326531,3601.785714,1504.897858,GFS TRAVELISTA
02/01/2023,PICK ITI,3.967653061,3989.285714,1504.273905,VELLAGO
02/01/2023,EN-PPC,3.978979592,4376.785714,1503.649952,MILAN
02/01/2023,EN-JOINER,3.990306122,4764.285714,1503.025999,ARMAN
02/01/2023,EN-JOINER,4.001632653,5151.785714,1502.402046,JOSEPH
03/01/2023,PPC-PRIVATE,4.012959184,5539.285714,1501.778093, ST.JOHN
03/01/2023,DALUYON-LIO,4.024285714,PRIVATE,1501.15414,CORAZON TRAVEL AND TOURS
03/01/2023,DROP ITI,4.035612245,PRIVATE,1500.530187,BAYVIEW
03/01/2023,FRENDZ,4.046938776,6043.333333,1499.906234,FHERL TO ANSLEY
